Country Code,year,gdp_per_capita,Income
NAM,2023,4187.605004,LMC
NGA,2023,1596.636961,LMC
NPL,2023,1382.330558,LMC
PAK,2023,1365.169274,LMC
PSE,2023,3455.028529,LMC
SEN,2023,1698.033873,LMC
STP,2023,2940.933529,LMC
SWZ,2023,3741.690107,LMC
TUN,2023,3950.375342,LMC
TZA,2023,1224.489624,LMC
ZMB,2023,1330.727806,LMC
ZWE,2023,2156.034093,LMC
DZA,2023,5364.02795,MNA
IRN,2023,4465.637669,MNA
IRQ,2023,5965.318351,MNA
LBY,2023,6172.812469,MNA
MDV,2023,12530.36024,SAS
BWA,2023,7826.353765,SSA
CPV,2023,4861.291841,SSA
GAB,2023,8071.397774,SSA
GNQ,2023,6677.793435,SSA
MUS,2023,11182.18657,SSA
ZAF,2023,6022.542542,SSA
AUS,2024,64407.48426,EAP
BRN,2024,33417.83577,EAP
CHN,2024,13303.14815,EAP
FJI,2024,6288.398673,EAP
FSM,2024,4166.004767,EAP
HKG,2024,54107.03452,EAP
IDN,2024,4925.430488,EAP
JPN,2024,32475.8925,EAP
KHM,2024,2627.879697,EAP
KIR,2024,2288.634583,EAP
LAO,2024,2123.979094,EAP
MAC,2024,73046.88903,EAP
MMR,2024,1359.259614,EAP
MNG,2024,6691.482098,EAP
MYS,2024,11867.25864,EAP
NZL,2024,48747.01369,EAP
PHL,2024,3984.831539,EAP
PNG,2024,3076.487862,EAP
SGP,2024,90674.06663,EAP
SLB,2024,2149.379573,EAP
THA,2024,7345.13569,EAP
TLS,2024,1343.14886,EAP
VNM,2024,4717.290287,EAP
VUT,2024,3542.810716,EAP
WSM,2024,4898.771408,EAP
ALB,2024,10011.62799,ECA
ARM,2024,8500.605225,ECA
AUT,2024,56833.19605,ECA
AZE,2024,7283.83563,ECA
BEL,2024,55954.61063,ECA
BGR,2024,17412.41151,ECA
BIH,2024,8957.372942,ECA
BLR,2024,8316.647763,ECA
CHE,2024,103669.872,ECA
CYP,2024,38654.16797,ECA
CZE,2024,31706.62342,ECA
DEU,2024,55800.21945,ECA
DNK,2024,71851.75621,ECA
ESP,2024,35297.0095,ECA
EST,2024,31170.09151,ECA
FIN,2024,53188.61862,ECA
FRA,2024,46150.48769,ECA
GBR,2024,52636.78659,ECA
GEO,2024,9193.663664,ECA
GRC,2024,24752.10684,ECA
HRV,2024,23931.45284,ECA
HUN,2024,23310.75127,ECA
IRL,2024,107316.3373,ECA
ISL,2024,82703.85799,ECA
ITA,2024,40226.04724,ECA
KAZ,2024,14005.34874,ECA
KGZ,2024,2419.265536,ECA
LTU,2024,29386.28784,ECA
LUX,2024,137516.5873,ECA
LVA,2024,23367.59868,ECA
MDA,2024,7617.516131,ECA
MKD,2024,9310.0279,ECA
MNE,2024,12935.45227,ECA
NLD,2024,68218.7261,ECA
NOR,2024,86809.72469,ECA
POL,2024,25022.67164,ECA
PRT,2024,28844.49792,ECA
ROU,2024,20072.40792,ECA
RUS,2024,14889.01855,ECA
SRB,2024,13523.72468,ECA
SVK,2024,26147.90284,ECA
SVN,2024,34089.35277,ECA
SWE,2024,57723.2345,ECA
TJK,2024,1341.20229,ECA
TKM,2024,8571.607029,ECA
TUR,2024,15473.28726,ECA
UKR,2024,5389.473145,ECA
UZB,2024,3161.700106,ECA
ARE,2024,49377.56434,HIC
ATG,2024,23725.79037,HIC
BHR,2024,30048.21777,HIC
BHS,2024,39455.44665,HIC
BRB,2024,25365.79494,HIC
CAN,2024,54282.61761,HIC
CHL,2024,16709.8894,HIC
CRI,2024,18587.15322,HIC
GUY,2024,29883.63412,HIC
ISR,2024,54176.68444,HIC
KWT,2024,32213.86223,HIC
MLT,2024,42347.30739,HIC
OMN,2024,20248.41681,HIC
PAN,2024,19102.85219,HIC
PRI,2024,39285.01746,HIC
